pop,time,size,TMIG_WildTV,TMIG_TVWild,MODEL,ANC_EXP,TV_SHELF,TV_EXP,MIG,MIG_MODEL
wild,5300,12000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
wild,3200,26000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
wild,490,10000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
wild,0,15000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
TV,5300,12000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
TV,1300,1800,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
TV,361,60000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
TV,0,40000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
anc,220000,100000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
anc,5300,12000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
wild,5300,12000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
wild,3200,26000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
wild,490,10000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
wild,0,15000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
TV,5300,12000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
TV,1300,1800,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
TV,361,60000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
TV,0,40000,1300,1300,ancnoexp_Tvnoshelf_Tvexpcon,no_exp,no_shelf,exp_con,bi,
anc,220000,100000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
anc,7600,8300,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
anc,5300,12000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
wild,5300,12000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
wild,3200,26000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
wild,490,10000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
wild,0,15000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
TV,5300,12000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
TV,3200,12000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
TV,1300,1800,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
TV,361,60000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
TV,0,40000,1300,1300,ancexp_Tvshelf_Tvexpcon,exp,shelf,exp_con,bi,
anc,220000,100000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
anc,5300,12000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
wild,5300,12000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
wild,3200,26000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
wild,490,10000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
wild,0,15000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
TV,5300,12000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
TV,3200,12000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
TV,1300,1800,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
TV,361,60000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
TV,0,40000,1300,1300,ancnoexp_Tvshelf_Tvexpcon,no_exp,shelf,exp_con,bi,
